meter_id,feeder_zone,area_name,timestamp,consumption_kwh,hour,day_of_week,is_weekend,is_peak_hour,rolling_avg_24h
MTR_0001,Zone_1,Rajajinagar,2026-04-01 00:00:00,0.086,0,2,0,0,0.086
MTR_0001,Zone_1,Rajajinagar,2026-04-01 01:00:00,0.15,1,2,0,0,0.118
MTR_0001,Zone_1,Rajajinagar,2026-04-01 02:00:00,0.149,2,2,0,0,0.12833333333333333
MTR_0001,Zone_1,Rajajinagar,2026-04-01 03:00:00,0.182,3,2,0,0,0.14175
MTR_0001,Zone_1,Rajajinagar,2026-04-01 04:00:00,0.11,4,2,0,0,0.1354
MTR_0001,Zone_1,Rajajinagar,2026-04-01 05:00:00,0.112,5,2,0,0,0.13149999999999998
MTR_0001,Zone_1,Rajajinagar,2026-04-01 06:00:00,0.352,6,2,0,0,0.163
MTR_0001,Zone_1,Rajajinagar,2026-04-01 07:00:00,0.336,7,2,0,0,0.18462499999999998
MTR_0001,Zone_1,Rajajinagar,2026-04-01 08:00:00,0.259,8,2,0,0,0.1928888888888889
MTR_0001,Zone_1,Rajajinagar,2026-04-01 09:00:00,0.421,9,2,0,0,0.2157
MTR_0001,Zone_1,Rajajinagar,2026-04-01 10:00:00,0.294,10,2,0,0,0.22281818181818183
MTR_0001,Zone_1,Rajajinagar,2026-04-01 11:00:00,0.188,11,2,0,0,0.21991666666666665
MTR_0001,Zone_1,Rajajinagar,2026-04-01 12:00:00,0.237,12,2,0,0,0.22123076923076923
MTR_0001,Zone_1,Rajajinagar,2026-04-01 13:00:00,0.223,13,2,0,0,0.22135714285714284
MTR_0001,Zone_1,Rajajinagar,2026-04-01 14:00:00,0.225,14,2,0,0,0.2216
MTR_0001,Zone_1,Rajajinagar,2026-04-01 15:00:00,0.16,15,2,0,0,0.21775
MTR_0001,Zone_1,Rajajinagar,2026-04-01 16:00:00,0.228,16,2,0,0,0.21835294117647058
MTR_0001,Zone_1,Rajajinagar,2026-04-01 17:00:00,0.284,17,2,0,0,0.222
